te_ev,pressure_torr,radius_m,lambda_m,n_ar0,k_iz,nu_ion,nu_wall,dnu,rel_dnu,p_lambda_torr_cm,ne_sub_lo,ne_sub_hi,alpha_sub_hi,n_ar_star,f_star,ne_star,alpha_star,C_wall,C_Te,C_Ar,dlnk_dlnTe,ne_ref,nu_RR,nu_3b,class
0.5,1.0,0.1,0.038122848105260086,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,43.80825379020029,-43.80823502143076,0.9999995715700146,3.8122848105260085,55.0334878869963,275.16743943498153,8.495961958445927e-21,4.9481693388379765e+25,-1526.7773617779133,nan,nan,nan,nan,nan,nan,275.16743943498153,1.249491492443266e-16,1.7132828419073798e-32,extinction
0.5,1.0,0.2,0.06271313410453205,3.23880263095381e+22,5.794971682292229e-28,1.8768769530910898e-05,16.188611814282904,-16.18859304551337,0.9999988406189643,6.271313410453205,148.9270849310019,744.6354246550096,2.2991071377378698e-20,3.0079553636914023e+25,-927.7245029826271,nan,nan,nan,nan,nan,nan,744.6354246550096,3.381270800021955e-16,1.2546493523271457e-31,extinction
0.5,2.0,0.005,0.002078509543367318,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,7368.728892489123,-7368.728854951583,0.9999999949058325,0.41570190867346357,0.6543652287551671,3.271826143775836,5.0509810516182965e-23,9.075652729408176e+26,-14009.814741643342,nan,nan,nan,nan,nan,nan,3.271826143775836,1.4856841128426219e-18,2.422230214708333e-36,extinction
0.5,2.0,0.01,0.004154068068337296,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,1844.8004973056472,-1844.800459768108,0.9999999796522501,0.8308136136674592,2.6137460652038755,13.06873032601938,2.0175249644913852e-22,4.541050002079759e+26,-7009.383958997903,nan,nan,nan,nan,nan,nan,13.06873032601938,5.934302180856291e-18,3.86457529478362e-35,extinction
0.5,2.0,0.02,0.008284653061723664,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,463.8183985097783,-463.81836097223925,0.9999999190684561,1.6569306123447327,10.395966068910742,51.97983034455371,8.024544294205098e-22,2.2769608660519846e+26,-3514.1275417196875,nan,nan,nan,nan,nan,nan,51.97983034455371,2.3603212621204995e-17,6.1137080498415445e-34,extinction
0.5,2.0,0.05,0.020314161161742474,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,77.1434108469349,-77.14337330939584,0.9999995134057641,4.062832232348494,62.50491436855416,312.52457184277085,4.82469306489871e-21,9.28604959868521e+25,-1432.5621303281637,nan,nan,nan,nan,nan,nan,312.52457184277085,1.4191242775629551e-16,2.2100562032028306e-32,extinction
0.5,2.0,0.1,0.038122848105260086,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,21.904126895100145,-21.904089357561084,0.9999982862800585,7.624569621052017,220.134234484427,1100.671172422135,1.6991945756478426e-20,4.9481693388379765e+25,-762.8886808889566,nan,nan,nan,nan,nan,nan,1100.671172422135,4.997972393619533e-16,2.741259593677143e-31,extinction
0.5,2.0,0.2,0.06271313410453205,6.47760526190762e+22,5.794971682292229e-28,3.7537539061821795e-05,8.094305907141452,-8.094268369602391,0.9999953624758575,12.54262682090641,595.7104116924719,2978.5520584623596,4.5982302687971943e-20,3.0079553636914023e+25,-463.36225149131354,nan,nan,nan,nan,nan,nan,2978.5520584623596,1.3525130242480882e-15,2.007452928132466e-30,extinction
0.5,5.0,0.005,0.002078509543367318,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,2947.4915569956497,-2947.4914631518022,0.9999999681614533,1.0392547716836589,4.089782789098495,20.448913945492475,1.2627452966759128e-22,9.075652729408176e+26,-5603.325896657338,nan,nan,nan,nan,nan,nan,20.448913945492475,9.28552595360201e-18,9.46183728230634e-35,extinction
0.5,5.0,0.01,0.004154068068337296,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,737.920198922259,-737.9201050784113,0.9999998728265633,2.077034034168648,16.335914652619554,81.67957326309778,5.043812950037254e-22,4.541050002079759e+26,-2803.1535835991617,nan,nan,nan,nan,nan,nan,81.67957326309778,3.708939259245172e-17,1.509600047052963e-33,extinction
0.5,5.0,0.02,0.008284653061723664,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,185.52735940391133,-185.52726556006368,0.999999494177851,4.142326530861832,64.97481553788306,324.8740776894153,2.006136925940076e-21,2.2769608660519846e+26,-1405.0510166878753,nan,nan,nan,nan,nan,nan,324.8740776894153,1.475201415624585e-16,2.38816923639043e-32,extinction
0.5,5.0,0.05,0.020314161161742474,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,30.857364338773966,-30.85727049492631,0.9999969587860251,10.157080580871238,390.6567127832986,1953.2835639164928,1.2061763475480823e-20,9.28604959868521e+25,-572.4248521312655,nan,nan,nan,nan,nan,nan,1953.2835639164928,8.869549393105445e-16,8.633076152179661e-31,extinction
0.5,5.0,0.1,0.038122848105260086,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,8.761650758040059,-8.761556914192404,0.9999892892503655,19.061424052630045,1375.851344124278,6879.256720621391,4.2480246587890954e-20,4.9481693388379765e+25,-304.5554723555827,nan,nan,nan,nan,nan,nan,6879.256720621391,3.123760850629498e-15,1.0708237971934732e-29,extinction
0.5,5.0,0.2,0.06271313410453205,1.6194013154769048e+23,5.794971682292229e-28,9.384384765455449e-05,3.237722362856581,-3.2376285190089265,0.9999710154741088,31.356567052266026,3723.2807242206486,18616.403621103243,1.1495855562906477e-19,3.0079553636914023e+25,-184.74490059652544,nan,nan,nan,nan,nan,nan,18616.403621103243,8.453412217747074e-15,7.841994855764664e-29,extinction
0.5,10.0,0.005,0.002078509543367318,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,1473.7457784978249,-1473.7455908101294,0.999999872645813,2.0785095433673177,16.359132718947066,81.79566359473533,2.5254908345757073e-22,9.075652729408176e+26,-2801.162948328669,nan,nan,nan,nan,nan,nan,81.79566359473533,3.714210736206032e-17,1.5138942543701679e-33,extinction
0.5,10.0,0.01,0.004154068068337296,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,368.9600994611295,-368.9599117734342,0.9999994913062535,4.154068068337296,65.34368354042378,326.71841770211887,1.0087629748710624e-21,4.541050002079759e+26,-1401.0767917995809,nan,nan,nan,nan,nan,nan,326.71841770211887,1.4835762697126185e-16,2.4153619183038775e-32,extinction
0.5,10.0,0.02,0.008284653061723664,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,92.76367970195567,-92.76349201426035,0.9999979767114034,8.284653061723663,259.89965654074024,1299.498282703701,4.0122799403834184e-21,2.2769608660519846e+26,-702.0255083439376,nan,nan,nan,nan,nan,nan,1299.498282703701,5.900814616791063e-16,3.8210823749503485e-31,extinction
0.5,10.0,0.05,0.020314161161742474,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,15.428682169386983,-15.428494481691674,0.9999878351441005,20.314161161742476,1562.6411081544804,7813.205540772402,2.4123747048060955e-20,9.28604959868521e+25,-285.71242606563277,nan,nan,nan,nan,nan,nan,7813.205540772402,3.5478521266730255e-15,1.381317389600912e-29,extinction
0.5,10.0,0.1,0.038122848105260086,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,4.380825379020029,-4.38063769132472,0.9999571570014619,38.12284810526009,5503.582220865031,27517.91110432515,8.496322326446078e-20,4.9481693388379765e+25,-151.77773617779135,nan,nan,nan,nan,nan,nan,27517.91110432515,1.2495444913564599e-14,1.713428187521837e-28,extinction
0.5,10.0,0.2,0.06271313410453205,3.2388026309538096e+23,5.794971682292229e-28,0.00018768769530910898,1.6188611814282905,-1.6186734937329814,0.9998840618964354,62.71313410453205,14894.418057359657,74472.09028679828,2.2993710569163846e-19,3.0079553636914023e+25,-91.87245029826272,nan,nan,nan,nan,nan,nan,74472.09028679828,3.381658942965461e-14,1.2549374163553668e-27,extinction
0.5,20.0,0.005,0.002078509543367318,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,736.8728892489124,-736.8725138735218,0.9999994905832524,4.1570190867346355,65.43655587664954,327.1827793832477,5.050983598943387e-22,9.075652729408176e+26,-1400.0814741643344,nan,nan,nan,nan,nan,nan,327.1827793832477,1.4856848621070476e-16,2.4222326578809738e-32,extinction
0.5,20.0,0.01,0.004154068068337296,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,184.48004973056476,-184.47967435517413,0.9999979652250138,8.308136136674593,261.37513304158506,1306.8756652079253,2.0175290286568923e-21,4.541050002079759e+26,-700.0383958997904,nan,nan,nan,nan,nan,nan,1306.8756652079253,5.934314135100553e-16,3.8645908646424396e-31,extinction
0.5,20.0,0.02,0.008284653061723664,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,46.38183985097783,-46.381464475587215,0.999991906845614,16.569306123447326,1039.6049364381665,5198.024682190832,8.024608589162537e-21,2.2769608660519846e+26,-350.5127541719688,nan,nan,nan,nan,nan,nan,5198.024682190832,2.360340173693484e-15,6.113806019809477e-30,extinction
0.5,20.0,0.05,0.020314161161742474,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,7.7143410846934914,-7.713965709302873,0.9999513405764022,40.62832232348495,6250.792555365082,31253.96277682541,4.824925495324377e-20,9.28604959868521e+25,-142.35621303281638,nan,nan,nan,nan,nan,nan,31253.96277682541,1.419192644121298e-14,2.2102691480142676e-28,extinction
0.5,20.0,0.1,0.038122848105260086,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,2.1904126895100147,-2.1900373141193965,0.9998286280058476,76.24569621052018,22017.158848017305,110085.79424008653,1.6994829074790962e-19,4.9481693388379765e+25,-75.38886808889568,nan,nan,nan,nan,nan,nan,110085.79424008653,4.9988204863297263e-14,2.742189986781867e-27,extinction
0.5,20.0,0.2,0.06271313410453205,6.477605261907619e+23,5.794971682292229e-28,0.00037537539061821795,0.8094305907141452,-0.809055215323527,0.9995362475857417,125.4262682090641,59598.40381075874,297992.0190537937,4.600342364271155e-19,3.0079553636914023e+25,-45.43622514913136,nan,nan,nan,nan,nan,nan,297992.0190537937,1.3531342712213793e-13,2.0092975099630326e-26,extinction
0.5,50.0,0.005,0.002078509543367318,1.619401315476905e+24,5.794971682292229e-28,0.000938438476545545,294.7491556995649,-294.7482172610883,0.9999968161453275,10.392547716836589,408.9795680200843,2044.8978401004215,1.2627492768821234e-21,9.075652729408176e+26,-559.4325896657336,nan,nan,nan,nan,nan,nan,2044.8978401004215,9.285555221822743e-16,9.461896930317655e-31,extinction
